IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.4676,215.442703,0.596873999,0.915016413,7.38526773,693.939575,0.067993,HATLAS J142146.2+003548,-
G15.DR1.4677,214.427109,-0.191853002,0.250999987,2.9286015,37.7944412,0.046785,HATLAS J141742.5-001130,-
G15.DR1.46796,212.930023,1.29053104,0.148039997,1.84524453,8.79919815,0.030024,HATLAS J141143.2+011725,-
G15.DR1.468,220.139923,0.636829019,0.0501199998,0.667049289,4.14331102,0.104839,HATLAS J144033.5+003812,-
G15.DR1.4681,217.511749,0.163635001,0.513909996,5.12509537,155.979233,0.048768,HATLAS J143002.8+000949,-
G15.DR1.4682,220.796692,0.99763298,0.420166999,4.42342281,102.278519,0.047045,HATLAS J144311.2+005951,-
G15.DR1.4683,214.837234,0.194828004,1.30729151,8.8183918,1041.65601,0.046904,HATLAS J141920.9+001141,-
G15.DR1.4686,221.470886,1.33307099,2.77330422,11.3123989,9512.14551,0.063794,HATLAS J144553.0+011959,-
G15.DR1.46878,214.079422,1.04808402,3.89821744,12.0836658,9845.69531,0.020943,HATLAS J141619.0+010253,-
G15.DR1.4690,212.894028,0.166298002,0.0529499985,0.70335108,2.41909957,0.061333,HATLAS J141134.5+000958,-
G15.DR1.46901,218.459396,0.447014004,0.671377003,6.13884497,159.57338,0.029416,HATLAS J143350.2+002649,-
G15.DR1.4692,216.735657,1.14282,1.84288824,10.0795298,2294.70264,0.045923,HATLAS J142656.5+010834,-
G15.DR1.4693,218.01535,0.905046999,0.773041546,6.70082617,445.697327,0.061799,HATLAS J143203.6+005418,-
G15.DR1.4694,214.50885,0.247439995,1.6733464,9.74280834,1979.14014,0.050128,HATLAS J141802.1+001450,-
G15.DR1.4695,218.737503,-0.124394998,1.7662313,9.93325806,2679.42212,0.059532,HATLAS J143457.0-000727,-
G15.DR1.46953,214.98436,0.154605001,2.04327703,10.4216127,1352.49951,0.020879,HATLAS J141956.2+000916,-
G15.DR1.4698,213.680511,0.653200984,0.388590008,4.16812468,90.4353104,0.048263,HATLAS J141443.3+003911,-
G15.DR1.4699,213.991333,1.43863106,0.231071174,2.73017955,31.6929512,0.046002,HATLAS J141557.9+012619,-
G15.DR1.470,215.552124,-0.598644972,0.127719998,1.61340415,33.2340927,0.14076,HATLAS J142212.5-003555,-
G15.DR1.4700,216.915009,1.41867495,1.5755837,9.5250845,1625.9198,0.047533,HATLAS J142739.6+012507,-
G15.DR1.47004,215.300446,0.415912002,3.56588364,11.903821,9477.67578,0.028146,HATLAS J142112.1+002457,-
G15.DR1.4701,220.008469,-0.620784998,0.937129617,7.48258829,657.831238,0.061312,HATLAS J144002.0-003714,-
G15.DR1.4702,221.40448,-0.069581002,1.6515975,9.69595814,1767.11108,0.04619,HATLAS J144537.0-000410,-
G15.DR1.4703,220.423904,-0.980893016,0.518999994,5.16093731,197.715881,0.060357,HATLAS J144141.7-005851,-
G15.DR1.47033,214.75647,1.15823996,2.35762835,10.8621883,2575.22485,0.027302,HATLAS J141901.5+010929,-
G15.DR1.4705,214.156052,0.227917999,2.15997362,10.5973635,3484.9104,0.046594,HATLAS J141637.4+001340,-
G15.DR1.47060,212.115402,1.07758904,2.52841401,11.0626249,3152.84448,0.027563,HATLAS J140827.6+010439,-
G15.DR1.4707,220.468338,0.991559982,0.197109997,2.37990308,20.9212284,0.040925,HATLAS J144152.4+005929,-
G15.DR1.47072,212.181717,1.19025397,3.6693418,11.9631968,10429.9551,0.028046,HATLAS J140843.6+011124,-
G15.DR1.4708,221.274673,0.920020998,1.92159736,10.2204666,3441.65381,0.062059,HATLAS J144505.9+005512,-
G15.DR1.47090,218.730911,0.843100011,3.04264808,11.5452251,5280.55176,0.026679,HATLAS J143455.4+005035,-
G15.DR1.471,221.998291,0.341592997,0.120640002,1.53112674,26.7340755,0.135719,HATLAS J144759.5+002029,-
G15.DR1.4710,212.866028,-0.375310004,1.39115489,9.05854511,1576.63989,0.061607,HATLAS J141127.8-002231,-
G15.DR1.47156,219.296463,0.0705950037,2.20267773,10.6578655,2212.93848,0.028119,HATLAS J143711.1+000414,-
G15.DR1.4716,214.467957,0.0559220016,0.334060013,3.70271158,70.3224945,0.050224,HATLAS J141752.3+000321,-
G15.DR1.4719,220.84964,0.205467001,0.718761921,6.40893888,300.280792,0.048243,HATLAS J144323.9+001219,-
G15.DR1.472,218.155518,1.34773505,0.138219997,1.7339921,35.6112213,0.138954,HATLAS J143237.3+012051,-
G15.DR1.4720,217.660324,0.510415018,1.62759733,9.64323139,1763.12891,0.04771,HATLAS J143038.4+003037,-
G15.DR1.47219,212.064606,1.20502996,2.68304563,11.224987,3904.58496,0.028829,HATLAS J140815.5+011218,-
G15.DR1.4722,216.933044,1.29948497,1.15058351,8.31358433,799.007019,0.047814,HATLAS J142743.9+011758,-
G15.DR1.4723,216.268936,0.652815998,0.49436,4.98534346,178.950455,0.060107,HATLAS J142504.5+003910,-
G15.DR1.4724,213.378494,1.25501001,2.75120258,11.2914219,7312.05176,0.05014,HATLAS J141330.8+011518,-
G15.DR1.4725,214.117706,1.14600003,1.18689954,8.43765068,851.495789,0.047655,HATLAS J141628.2+010845,-
G15.DR1.4726,214.897415,-0.26314801,1.53564727,9.43058681,1586.55481,0.049279,HATLAS J141935.3-001547,-
G15.DR1.4727,221.10025,-0.571766973,1.53564668,9.43058205,1485.81262,0.04615,HATLAS J144424.0-003418,-
G15.DR1.4728,214.736893,0.169026002,1.46621406,9.25800991,1375.35425,0.047605,HATLAS J141856.8+001008,-
G15.DR1.473,213.302551,-0.752111971,0.0700900033,0.920228601,9.73173714,0.142122,HATLAS J141312.6-004507,-
G15.DR1.47347,216.490952,0.22665,3.09617615,11.5871181,5882.20117,0.028163,HATLAS J142557.8+001335,-
