RA,Dec,z,LookbackTime
214.579407,-0.677062988,6.86645508e-05,0.0686356723
217.917023,0.338279009,6.86645508e-05,0.0686356723
213.132538,1.37983096,6.86645508e-05,0.0686356723
219.33049,1.36270905,6.86645508e-05,0.0686356723
220.875458,0.0391989984,7.05718994e-05,0.0686356723
214.502487,1.20087004,7.15255737e-05,0.0686356723
214.039139,0.689969003,7.15255737e-05,0.0686356723
214.914154,-0.322492987,7.15255737e-05,0.0686356723
216.697647,0.815521002,7.15255737e-05,0.0686356723
219.870422,1.16621804,7.15255737e-05,0.0686356723
221.119446,-0.748058021,7.15255737e-05,0.0686356723
213.862152,0.0712129995,7.2479248e-05,0.0686356723
217.121231,-0.643405974,7.82012939e-05,0.0686356723
220.880966,-0.204799995,7.91549683e-05,0.0686356723
220.681366,-0.824145019,7.91549683e-05,0.0686356723
220.081619,-0.144905001,8.29696655e-05,0.0686356723
214.303528,1.17783403,8.48770142e-05,0.0686356723
215.131134,1.44606304,8.48770142e-05,0.0686356723
216.46669,0.247140005,8.77380371e-05,0.0686356723
221.08783,0.237027004,8.86917114e-05,0.0686356723
213.555313,-0.968357027,8.96453857e-05,0.0686356723
218.690933,0.777007997,9.91821289e-05,0.0686356723
217.503876,1.30261397,0.000100135803,0.0686356723
216.8564,-0.767929018,0.000102996826,0.0686356723
218.500534,0.848719001,0.000102996826,0.0686356723
214.898636,0.573130012,0.000102996826,0.0686356723
216.494293,0.990266979,0.000102996826,0.0686356723
221.293808,0.118366003,0.000104904175,0.0686356723
218.111038,-0.295286,0.000104904175,0.0686356723
221.565231,1.17474699,0.000104904175,0.0686356723
213.919922,0.649425983,0.000104904175,0.0686356723
213.31459,-0.538260996,0.000104904175,0.0686356723
214.51268,0.207736,0.000105857849,0.0686356723
212.805222,1.13440394,0.000105857849,0.0686356723
212.772446,0.353733003,0.000106811523,0.0686356723
217.953186,1.21108198,0.000106811523,0.0686356723
217.022308,-0.897083998,0.000106811523,0.0686356723
212.23468,-0.892652988,0.000106811523,0.0686356723
216.209747,-0.945634007,0.000107765198,0.0686356723
221.185318,0.278659999,0.000110626221,0.0686356723
215.543884,0.258673012,0.000110626221,0.0686356723
216.212799,-0.899342,0.000110626221,0.0686356723
213.643692,0.546405971,0.000111579895,0.0686356723
220.196228,0.664934993,0.000111579895,0.0686356723
214.80957,0.142885998,0.000111579895,0.0686356723
