IDNAME,RA,Dec,z,LookbackTime,SFR,F500,Z_PHOT,F350,alpha250350,Z_SPEC,F250,NAME_IAU,FeatureType,FeatureName,FeatureZopt,FeatureZsubmm
G15.DR1.9079,221.519867,0.0935150012,1.47219932,9.27331924,1465.47351,0.023792,1.5636365244706125,0.040744,0.6242423170195917,-99.0,0.050267,HATLAS J144604.7+000536,-,,0.0,0.0
G15.DR1.9080,217.265656,1.40948296,0.317449987,3.55442882,49.3744354,0.00016992337017460445,-0.42981233795300877,0.02017847,1.953208225302006,0.31745,0.038932,HATLAS J142903.7+012434,-,,0.0,0.0
G15.DR1.90820,216.382324,1.221843,3.54011989,11.8885126,6329.45947,0.02262575,4.987776436106546,0.03381285,-1.6585176240710304,-99.0,0.019352,HATLAS J142531.7+011318,-,,0.0,0.0
G15.DR1.90826,212.567444,1.16248798,3.39552999,11.7984838,5808.61328,0.02037186,5.512855973875242,0.04031766,-2.0085706492501614,-99.0,0.020511,HATLAS J141016.1+010944,-,,0.0,0.0
G15.DR1.9083,218.82991,1.33602297,0.43654415,4.55191994,117.55085,0.010522,-0.37581067962729664,0.026362,1.917207119751531,-99.0,0.05025,HATLAS J143519.1+012009,-,,0.0,0.0
G15.DR1.9085,213.868881,-0.0463670008,2.53871989,11.074007,5979.53662,0.042592,2.762013764258977,0.054783,-0.17467584283931806,-99.0,0.051656,HATLAS J141528.5-000246,-,,0.0,0.0
G15.DR1.9086,217.358521,1.15620601,2.32082057,10.8157234,3522.82812,0.02873827,2.784566350245544,0.04154399,-0.1897109001636959,-99.0,0.038975,HATLAS J142926.0+010922,-,,0.0,0.0
G15.DR1.9089,212.939957,1.38571799,1.31215048,8.83286572,1173.24072,0.020393,1.6605801998751808,0.043429,0.5596132000832128,-99.0,0.052427,HATLAS J141145.5+012308,-,,0.0,0.0
G15.DR1.909,212.677643,1.40800905,0.0464700013,0.620019495,3.36195803,0.01162,-2.2715622396446467,0.037656,3.1810414930964312,0.04647,0.109818,HATLAS J141042.6+012428,-,,0.0,0.0
G15.DR1.9090,216.190781,-0.343356997,1.54199982,9.44590187,1656.46338,0.026135,1.43467213405923,0.040135,0.7102185772938466,0.69926,0.050969,HATLAS J142445.7-002036,-,,0.0,0.0
